~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
0.000 , 0.000 , 0.000 , 9.504,0.1776,1.688,0.289,0.224, 9.053529E+00, 2.986223E-01 , -3.898861E-01 , -2.339092E+00 
-0.096 , 0.000 , -0.017 , 9.408,0.1776,1.671,0.311,0.228, 9.007787E+00, 3.021115E-01 , -3.950701E-01 , -2.370196E+00 
0.000 , 0.000 , 0.000 , 9.408,0.1776,1.671,0.311,0.232, 8.949823E+00, 3.094832E-01 , -4.010618E-01 , -2.406143E+00 
-0.096 , 0.022 , 0.190 , 9.312,0.1998,1.861,0.311,0.236, 8.907618E+00, 3.130902E-01 , -4.072838E-01 , -2.443472E+00 
0.000 , 0.000 , 0.000 , 9.312,0.1998,1.861,0.311,0.240, 8.831860E+00, 3.206961E-01 , -4.115757E-01 , -2.469218E+00 
-0.077 , 0.000 , -0.015 , 9.235,0.1998,1.845,0.311,0.244, 8.797191E+00, 3.255671E-01 , -4.194982E-01 , -2.516750E+00 
-0.019 , 0.000 , -0.004 , 9.216,0.1998,1.841,0.333,0.248, 8.723118E+00, 3.318593E-01 , -4.218886E-01 , -2.531090E+00 
0.000 , 0.000 , 0.000 , 9.216,0.1998,1.841,0.333,0.252, 8.684796E+00, 3.392336E-01 , -4.305619E-01 , -2.583127E+00 
-0.096 , 0.000 , -0.019 , 9.120,0.1998,1.822,0.333,0.256, 8.584112E+00, 3.457356E-01 , -4.348819E-01 , -2.609041E+00 
0.000 , 0.022 , 0.202 , 9.120,0.2220,2.025,0.355,0.260, 8.542706E+00, 3.501622E-01 , -4.392525E-01 , -2.635264E+00 
-0.096 , 0.000 , -0.021 , 9.024,0.2220,2.003,0.333,0.264, 8.463299E+00, 3.556025E-01 , -4.455603E-01 , -2.673107E+00 
-0.096 , 0.000 , -0.021 , 8.928,0.2220,1.982,0.333,0.268, 8.426427E+00, 3.613763E-01 , -4.506797E-01 , -2.703818E+00 
0.000 , 0.000 , 0.000 , 8.928,0.2220,1.982,0.333,0.272, 8.358002E+00, 3.645918E-01 , -4.547219E-01 , -2.728072E+00 
-0.038 , 0.011 , 0.090 , 8.890,0.2331,2.072,0.355,0.276, 8.281561E+00, 3.761115E-01 , -4.611706E-01 , -2.766762E+00 
