	~=~=~=MPPT Charge Controller=~=~=~


VI CURVE : 
minimum current : 0.00
maximum current : 1.00
step size : 0.004
/..........\
/#########
1,19.58,0.00,0.00,0.00,0.01
2,19.49,0.00,0.00,0.00,-0.01
2,17.95,0.00,0.00,0.00,-0.01
2,17.76,0.00,0.00,0.00,-0.01
1,17.76,0.00,0.00,0.00,0.01
1,17.76,0.00,0.00,0.00,0.01
2,17.57,0.00,0.00,0.00,-0.01
1,17.66,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
2,17.57,0.00,0.00,0.00,-0.01
1,17.66,0.00,0.00,0.00,0.01
1,17.86,0.00,0.00,0.00,0.01
1,17.86,0.00,0.00,0.00,0.01
1,17.86,0.00,0.00,0.00,0.01
2,17.28,0.00,0.00,0.00,-0.01
2,17.18,0.00,0.00,0.00,-0.01
1,19.39,0.00,0.00,0.00,0.01
1,19.68,0.00,0.00,0.00,0.01
2,19.58,0.00,0.00,0.00,-0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
